,A,B,C,D,E,F,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,freq9,freq10,AB,BC,CD,DE,EF,FA,AC,BD,CE,DF,EA,FB,AD,BE,CF,pedge00,pedge11,pnode,hnodes,lnodes,Unnamed: 0,freq_total,EC,FD
0,0,1,1,1,1,1,0.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,0.0,5.0,0.0,5.0,1.0,,,,
1,1,0,1,1,1,1,0.0,8.0,9.0,3.0,1.0,3.0,0.0,0.0,0.0,4.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,0.0,5.0,0.0,5.0,1.0,,,,
2,1,1,0,1,1,1,2.0,16.0,21.0,10.0,1.0,0.0,0.0,1.0,1.0,11.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,0.0,5.0,0.0,5.0,1.0,,,,
3,1,1,1,0,1,1,0.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,0.0,7.0,0.0,5.0,1.0,,,,
4,1,1,1,1,0,1,3.0,35.0,63.0,27.0,5.0,4.0,0.0,0.0,0.0,8.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,0.0,4.0,0.0,5.0,1.0,,,,
5,1,1,1,1,1,0,1.0,9.0,23.0,13.0,0.0,1.0,0.0,0.0,2.0,7.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,0.0,6.0,0.0,5.0,1.0,,,,
6,1,1,1,1,0,0,33.0,201.0,312.0,177.0,35.0,11.0,0.0,6.0,3.0,38.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,0.0,2.0,0.0,4.0,2.0,,,,
7,1,1,1,0,1,0,1.0,11.0,9.0,5.0,1.0,3.0,1.0,0.0,0.0,5.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,0.0,5.0,0.0,4.0,2.0,,,,
8,1,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,1.0,4.0,1.0,4.0,2.0,,,,
9,1,1,0,1,1,0,0.0,1.0,7.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,1.0,4.0,0.0,4.0,2.0,,,,
10,1,1,0,1,0,1,7.0,54.0,83.0,36.0,11.0,3.0,0.0,0.0,1.0,14.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,1.0,2.0,0.0,4.0,2.0,,,,
11,1,1,0,0,1,1,7.0,22.0,30.0,5.0,3.0,0.0,0.0,0.0,4.0,6.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,0.0,4.0,0.0,4.0,2.0,,,,
12,1,0,1,1,1,0,0.0,5.0,3.0,6.0,0.0,1.0,5.0,2.0,0.0,2.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,1.0,4.0,0.0,4.0,2.0,,,,
13,1,0,1,1,0,1,6.0,49.0,71.0,35.0,12.0,3.0,4.0,0.0,5.0,10.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,1.0,2.0,0.0,4.0,2.0,,,,
14,1,0,1,0,1,1,2.0,26.0,12.0,9.0,3.0,2.0,2.0,0.0,0.0,16.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,0.0,4.0,0.0,4.0,2.0,,,,
15,1,0,0,1,1,1,67.0,407.0,446.0,103.0,19.0,6.0,3.0,4.0,9.0,59.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,0.0,2.0,0.0,4.0,2.0,,,,
16,0,1,1,1,1,0,13.0,101.0,57.0,26.0,5.0,0.0,6.0,2.0,0.0,21.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,0.0,3.0,0.0,4.0,2.0,,,,
17,0,1,1,1,0,1,2.0,20.0,22.0,12.0,2.0,0.0,0.0,0.0,7.0,3.0,1,0,0,1,0,0,1,0,1.0,0.0,1,1,0,1,1,1.0,2.0,0.0,4.0,2.0,,,,
