,freq_total,nodes,edges,pedge00,pedge11,pnode,total_states
0,0,7,7.0,7.0,0.0,7,128
1,0,7,7.0,4.0,0.0,3,128
2,0,7,7.0,6.0,0.0,5,128
3,1,7,7.0,3.0,0.0,2,128
4,0,7,7.0,5.0,0.0,4,128
5,0,7,7.0,3.0,1.0,3,128
6,0,7,7.0,4.0,0.0,2,128
7,0,7,7.0,2.0,1.0,2,128
8,0,7,7.0,5.0,0.0,4,128
9,11,7,7.0,2.0,0.0,1,128
10,2,7,7.0,4.0,0.0,3,128
11,1576,7,7.0,1.0,0.0,0,128
12,2,7,7.0,3.0,0.0,1,128
13,6,7,7.0,1.0,1.0,1,128
14,231,7,7.0,2.0,0.0,0,128
15,742,7,7.0,0.0,1.0,0,128
16,0,7,7.0,5.0,0.0,4,128
17,0,7,7.0,3.0,1.0,3,128
18,0,7,7.0,4.0,0.0,2,128
19,0,7,7.0,2.0,1.0,2,128
20,0,7,7.0,4.0,1.0,4,128
21,0,7,7.0,3.0,3.0,3,128
22,0,7,7.0,3.0,1.0,2,128
23,0,7,7.0,2.0,3.0,2,128
24,2,7,7.0,3.0,0.0,1,128
25,9,7,7.0,1.0,1.0,1,128
26,227,7,7.0,2.0,0.0,0,128
27,770,7,7.0,0.0,1.0,0,128
28,1,7,7.0,2.0,1.0,1,128
29,1,7,7.0,1.0,3.0,1,128
30,135,7,7.0,1.0,1.0,0,128
31,107,7,7.0,0.0,3.0,0,128
32,0,7,7.0,4.0,0.0,3,128
33,1,7,7.0,2.0,1.0,1,128
34,0,7,7.0,4.0,1.0,3,128
35,0,7,7.0,2.0,2.0,1,128
36,57,7,7.0,2.0,0.0,1,128
37,1,7,7.0,1.0,2.0,1,128
38,1,7,7.0,2.0,1.0,1,128
39,0,7,7.0,1.0,3.0,1,128
40,1,7,7.0,3.0,1.0,2,128
41,6,7,7.0,1.0,2.0,0,128
42,0,7,7.0,3.0,2.0,2,128
43,9,7,7.0,1.0,3.0,0,128
44,94,7,7.0,1.0,1.0,0,128
45,10,7,7.0,0.0,3.0,0,128
46,45,7,7.0,1.0,2.0,0,128
47,27,7,7.0,0.0,4.0,0,128
48,57,7,7.0,2.0,0.0,1,128
49,0,7,7.0,1.0,2.0,1,128
50,2,7,7.0,2.0,1.0,1,128
51,0,7,7.0,1.0,3.0,1,128
52,28,7,7.0,1.0,1.0,1,128
53,0,7,7.0,1.0,4.0,1,128
54,1,7,7.0,1.0,2.0,1,128
55,0,7,7.0,1.0,5.0,1,128
56,107,7,7.0,1.0,1.0,0,128
57,9,7,7.0,0.0,3.0,0,128
58,41,7,7.0,1.0,2.0,0,128
59,26,7,7.0,0.0,4.0,0,128
60,42,7,7.0,0.0,2.0,0,128
61,5,7,7.0,0.0,5.0,0,128
62,24,7,7.0,0.0,3.0,0,128
63,5,7,7.0,0.0,6.0,0,128
64,0,7,7.0,6.0,0.0,5,128
65,4,7,7.0,3.0,0.0,1,128
66,0,7,7.0,5.0,0.0,3,128
67,388,7,7.0,2.0,0.0,0,128
68,0,7,7.0,4.0,0.0,2,128
69,0,7,7.0,2.0,1.0,1,128
70,21,7,7.0,3.0,0.0,0,128
71,136,7,7.0,1.0,1.0,0,128
72,0,7,7.0,5.0,1.0,4,128
73,4,7,7.0,2.0,1.0,1,128
74,0,7,7.0,4.0,1.0,3,128
75,245,7,7.0,1.0,1.0,0,128
76,0,7,7.0,3.0,1.0,1,128
77,1,7,7.0,1.0,2.0,1,128
78,26,7,7.0,2.0,1.0,0,128
79,83,7,7.0,0.0,2.0,0,128
80,0,7,7.0,4.0,0.0,2,128
81,0,7,7.0,2.0,1.0,1,128
82,18,7,7.0,3.0,0.0,0,128
83,117,7,7.0,1.0,1.0,0,128
84,0,7,7.0,3.0,1.0,2,128
85,0,7,7.0,2.0,3.0,1,128
86,7,7,7.0,2.0,1.0,0,128
87,11,7,7.0,1.0,3.0,0,128
88,1,7,7.0,3.0,1.0,1,128
89,0,7,7.0,1.0,2.0,1,128
90,25,7,7.0,2.0,1.0,0,128
91,81,7,7.0,0.0,2.0,0,128
92,0,7,7.0,2.0,2.0,1,128
93,0,7,7.0,1.0,4.0,1,128
94,11,7,7.0,1.0,2.0,0,128
95,9,7,7.0,0.0,4.0,0,128
96,19,7,7.0,3.0,0.0,2,128
97,134,7,7.0,1.0,1.0,0,128
98,1,7,7.0,3.0,1.0,2,128
99,58,7,7.0,1.0,2.0,0,128
100,1482,7,7.0,1.0,0.0,0,128
101,73,7,7.0,0.0,2.0,0,128
102,117,7,7.0,1.0,1.0,0,128
103,32,7,7.0,0.0,3.0,0,128
104,1,7,7.0,3.0,2.0,2,128
105,7,7,7.0,1.0,3.0,0,128
106,0,7,7.0,3.0,3.0,2,128
107,9,7,7.0,1.0,4.0,0,128
108,45,7,7.0,1.0,2.0,0,128
109,3,7,7.0,0.0,4.0,0,128
110,10,7,7.0,1.0,3.0,0,128
111,4,7,7.0,0.0,5.0,0,128
112,1402,7,7.0,1.0,0.0,0,128
113,84,7,7.0,0.0,2.0,0,128
114,96,7,7.0,1.0,1.0,0,128
115,46,7,7.0,0.0,3.0,0,128
116,556,7,7.0,0.0,1.0,0,128
117,21,7,7.0,0.0,4.0,0,128
118,47,7,7.0,0.0,2.0,0,128
119,4,7,7.0,0.0,5.0,0,128
120,45,7,7.0,1.0,2.0,0,128
121,3,7,7.0,0.0,4.0,0,128
122,11,7,7.0,1.0,3.0,0,128
123,7,7,7.0,0.0,5.0,0,128
124,16,7,7.0,0.0,3.0,0,128
125,0,7,7.0,0.0,6.0,0,128
126,5,7,7.0,0.0,4.0,0,128
127,1,7,7.0,0.0,7.0,0,128
128,0,7,7.0,7.0,0.0,7,128
129,0,7,7.0,5.0,0.0,4,128
130,0,7,7.0,4.0,0.0,3,128
131,0,7,7.0,3.0,1.0,2,128
132,0,7,7.0,4.0,0.0,3,128
133,146,7,7.0,2.0,0.0,0,128
134,126,7,7.0,1.0,0.0,1,128
135,584,7,7.0,0.0,1.0,0,128
136,0,7,7.0,5.0,0.0,4,128
137,1,7,7.0,3.0,0.0,2,128
138,0,7,7.0,3.0,1.0,2,128
139,0,7,7.0,2.0,2.0,1,128
140,0,7,7.0,3.0,1.0,2,128
141,119,7,7.0,1.0,1.0,0,128
142,0,7,7.0,1.0,2.0,1,128
143,57,7,7.0,0.0,3.0,0,128
144,0,7,7.0,6.0,0.0,5,128
145,0,7,7.0,5.0,1.0,4,128
146,0,7,7.0,3.0,0.0,2,128
147,0,7,7.0,3.0,2.0,2,128
148,6,7,7.0,3.0,0.0,1,128
149,9,7,7.0,2.0,1.0,0,128
150,2954,7,7.0,0.0,0.0,0,128
151,121,7,7.0,0.0,2.0,0,128
152,0,7,7.0,4.0,0.0,2,128
153,0,7,7.0,3.0,1.0,2,128
154,0,7,7.0,2.0,1.0,1,128
155,0,7,7.0,2.0,3.0,1,128
156,5,7,7.0,2.0,1.0,0,128
157,11,7,7.0,1.0,2.0,0,128
158,34,7,7.0,0.0,2.0,0,128
159,6,7,7.0,0.0,4.0,0,128
160,0,7,7.0,5.0,0.0,4,128
161,1,7,7.0,3.0,0.0,2,128
162,0,7,7.0,3.0,1.0,2,128
163,0,7,7.0,2.0,2.0,1,128
164,0,7,7.0,3.0,1.0,2,128
165,114,7,7.0,1.0,1.0,0,128
166,0,7,7.0,1.0,2.0,1,128
167,49,7,7.0,0.0,3.0,0,128
168,0,7,7.0,3.0,0.0,3,128
169,27,7,7.0,1.0,0.0,1,128
170,0,7,7.0,2.0,2.0,2,128
171,0,7,7.0,1.0,3.0,1,128
172,0,7,7.0,2.0,2.0,2,128
173,78,7,7.0,0.0,2.0,0,128
174,0,7,7.0,1.0,4.0,1,128
175,8,7,7.0,0.0,5.0,0,128
176,0,7,7.0,4.0,0.0,2,128
177,0,7,7.0,3.0,1.0,2,128
178,0,7,7.0,2.0,1.0,1,128
179,0,7,7.0,2.0,3.0,1,128
180,8,7,7.0,2.0,1.0,0,128
181,8,7,7.0,1.0,2.0,0,128
182,32,7,7.0,0.0,2.0,0,128
183,4,7,7.0,0.0,4.0,0,128
184,6,7,7.0,2.0,0.0,1,128
185,4,7,7.0,1.0,1.0,1,128
186,1,7,7.0,1.0,2.0,1,128
187,0,7,7.0,1.0,4.0,1,128
188,7,7,7.0,1.0,2.0,0,128
189,11,7,7.0,0.0,3.0,0,128
190,5,7,7.0,0.0,4.0,0,128
191,0,7,7.0,0.0,6.0,0,128
192,0,7,7.0,6.0,0.0,5,128
193,0,7,7.0,4.0,0.0,2,128
194,8,7,7.0,3.0,0.0,1,128
195,6,7,7.0,2.0,1.0,0,128
196,0,7,7.0,4.0,1.0,3,128
197,2,7,7.0,2.0,1.0,0,128
198,16,7,7.0,1.0,1.0,1,128
199,39,7,7.0,0.0,2.0,0,128
200,0,7,7.0,4.0,0.0,3,128
201,14,7,7.0,2.0,0.0,1,128
202,2,7,7.0,2.0,1.0,1,128
203,7,7,7.0,1.0,2.0,0,128
204,0,7,7.0,3.0,2.0,2,128
205,14,7,7.0,1.0,2.0,0,128
206,1,7,7.0,1.0,3.0,1,128
207,4,7,7.0,0.0,4.0,0,128
208,0,7,7.0,5.0,0.0,3,128
209,0,7,7.0,4.0,1.0,2,128
210,133,7,7.0,2.0,0.0,0,128
211,4,7,7.0,2.0,2.0,0,128
212,0,7,7.0,3.0,1.0,1,128
213,1,7,7.0,2.0,2.0,0,128
214,382,7,7.0,0.0,1.0,0,128
215,12,7,7.0,0.0,3.0,0,128
216,0,7,7.0,3.0,0.0,1,128
217,1,7,7.0,2.0,1.0,1,128
218,114,7,7.0,1.0,1.0,0,128
219,5,7,7.0,1.0,3.0,0,128
220,0,7,7.0,2.0,2.0,0,128
221,2,7,7.0,1.0,3.0,0,128
222,40,7,7.0,0.0,3.0,0,128
223,0,7,7.0,0.0,5.0,0,128
224,0,7,7.0,4.0,0.0,3,128
225,12,7,7.0,2.0,0.0,1,128
226,4,7,7.0,2.0,1.0,1,128
227,8,7,7.0,1.0,2.0,0,128
228,0,7,7.0,3.0,2.0,2,128
229,9,7,7.0,1.0,2.0,0,128
230,2,7,7.0,1.0,3.0,1,128
231,8,7,7.0,0.0,4.0,0,128
232,5,7,7.0,2.0,0.0,2,128
233,2814,7,7.0,0.0,0.0,0,128
234,2,7,7.0,1.0,2.0,1,128
235,14,7,7.0,0.0,3.0,0,128
236,0,7,7.0,2.0,3.0,2,128
237,44,7,7.0,0.0,3.0,0,128
238,0,7,7.0,1.0,5.0,1,128
239,2,7,7.0,0.0,6.0,0,128
240,1,7,7.0,3.0,0.0,1,128
241,1,7,7.0,2.0,1.0,1,128
242,128,7,7.0,1.0,1.0,0,128
243,4,7,7.0,1.0,3.0,0,128
244,1,7,7.0,2.0,2.0,0,128
245,0,7,7.0,1.0,3.0,0,128
246,49,7,7.0,0.0,3.0,0,128
247,3,7,7.0,0.0,5.0,0,128
248,813,7,7.0,1.0,0.0,0,128
249,496,7,7.0,0.0,1.0,0,128
250,139,7,7.0,0.0,2.0,0,128
251,18,7,7.0,0.0,4.0,0,128
252,5,7,7.0,1.0,3.0,0,128
253,4,7,7.0,0.0,4.0,0,128
254,16,7,7.0,0.0,5.0,0,128
255,0,7,7.0,0.0,7.0,0,128
256,0,7,5.0,5.0,0.0,7,128
257,0,7,5.0,4.0,0.0,5,128
258,0,7,5.0,4.0,0.0,5,128
259,0,7,5.0,3.0,0.0,3,128
260,0,7,5.0,3.0,0.0,4,128
261,0,7,5.0,2.0,0.0,2,128
262,3,7,5.0,2.0,0.0,3,128
263,48,7,5.0,1.0,0.0,1,128
264,0,7,5.0,4.0,0.0,5,128
265,0,7,5.0,3.0,0.0,3,128
266,0,7,5.0,3.0,0.0,3,128
267,8,7,5.0,2.0,0.0,1,128
268,0,7,5.0,3.0,1.0,4,128
269,0,7,5.0,2.0,1.0,2,128
270,0,7,5.0,2.0,1.0,3,128
271,4,7,5.0,1.0,1.0,1,128
272,0,7,5.0,3.0,0.0,4,128
273,0,7,5.0,3.0,1.0,4,128
274,1,7,5.0,2.0,0.0,2,128
275,0,7,5.0,2.0,1.0,2,128
276,55,7,5.0,1.0,0.0,1,128
277,2,7,5.0,1.0,1.0,1,128
278,1694,7,5.0,0.0,0.0,0,128
279,148,7,5.0,0.0,1.0,0,128
280,2,7,5.0,2.0,0.0,2,128
281,0,7,5.0,2.0,1.0,2,128
282,266,7,5.0,1.0,0.0,0,128
283,24,7,5.0,1.0,1.0,0,128
284,2,7,5.0,1.0,1.0,1,128
285,0,7,5.0,1.0,2.0,1,128
286,191,7,5.0,0.0,1.0,0,128
287,13,7,5.0,0.0,2.0,0,128
288,0,7,5.0,3.0,0.0,4,128
289,1,7,5.0,2.0,0.0,2,128
290,0,7,5.0,3.0,1.0,4,128
291,0,7,5.0,2.0,1.0,2,128
292,0,7,5.0,2.0,1.0,3,128
293,2,7,5.0,1.0,1.0,1,128
294,0,7,5.0,2.0,2.0,3,128
295,0,7,5.0,1.0,2.0,1,128
296,2,7,5.0,2.0,0.0,3,128
297,47,7,5.0,1.0,0.0,1,128
298,0,7,5.0,2.0,1.0,3,128
299,4,7,5.0,1.0,1.0,1,128
