,freq_total,nodes,edges,pedge00,pedge11,pnode,total_states
0,2,4,6.0,6.0,0.0,4,16.0
1,458,4,6.0,3.0,0.0,0,16.0
2,448,4,6.0,3.0,0.0,0,16.0
3,1126,4,6.0,1.0,1.0,0,16.0
4,465,4,6.0,3.0,0.0,0,16.0
5,1103,4,6.0,1.0,1.0,0,16.0
6,1088,4,6.0,1.0,1.0,0,16.0
7,367,4,6.0,0.0,3.0,0,16.0
8,483,4,6.0,3.0,0.0,0,16.0
9,1075,4,6.0,1.0,1.0,0,16.0
10,1085,4,6.0,1.0,1.0,0,16.0
11,365,4,6.0,0.0,3.0,0,16.0
12,1053,4,6.0,1.0,1.0,0,16.0
13,377,4,6.0,0.0,3.0,0,16.0
14,395,4,6.0,0.0,3.0,0,16.0
15,102,4,6.0,0.0,6.0,0,16.0
16,1,4,5.0,5.0,0.0,4,16.0
17,50,4,5.0,3.0,0.0,1,16.0
18,868,4,5.0,2.0,0.0,0,16.0
19,295,4,5.0,1.0,1.0,0,16.0
20,39,4,5.0,3.0,0.0,1,16.0
21,3213,4,5.0,1.0,0.0,0,16.0
22,326,4,5.0,1.0,1.0,0,16.0
23,258,4,5.0,0.0,2.0,0,16.0
24,887,4,5.0,2.0,0.0,0,16.0
25,320,4,5.0,1.0,1.0,0,16.0
26,2749,4,5.0,0.0,1.0,0,16.0
27,192,4,5.0,0.0,3.0,0,16.0
28,282,4,5.0,1.0,1.0,0,16.0
29,267,4,5.0,0.0,2.0,0,16.0
30,191,4,5.0,0.0,3.0,0,16.0
31,54,4,5.0,0.0,5.0,0,16.0
32,2,4,5.0,5.0,0.0,4,16.0
33,814,4,5.0,2.0,0.0,0,16.0
34,36,4,5.0,3.0,0.0,1,16.0
35,288,4,5.0,1.0,1.0,0,16.0
36,853,4,5.0,2.0,0.0,0,16.0
37,2844,4,5.0,0.0,1.0,0,16.0
38,274,4,5.0,1.0,1.0,0,16.0
39,188,4,5.0,0.0,3.0,0,16.0
40,38,4,5.0,3.0,0.0,1,16.0
41,295,4,5.0,1.0,1.0,0,16.0
42,3304,4,5.0,1.0,0.0,0,16.0
43,248,4,5.0,0.0,2.0,0,16.0
44,294,4,5.0,1.0,1.0,0,16.0
45,206,4,5.0,0.0,3.0,0,16.0
46,253,4,5.0,0.0,2.0,0,16.0
47,56,4,5.0,0.0,5.0,0,16.0
48,0,4,4.0,4.0,0.0,4,16.0
49,53,4,4.0,2.0,0.0,1,16.0
50,57,4,4.0,2.0,0.0,1,16.0
51,80,4,4.0,1.0,1.0,0,16.0
52,42,4,4.0,2.0,0.0,1,16.0
53,4463,4,4.0,0.0,0.0,0,16.0
54,71,4,4.0,1.0,1.0,0,16.0
55,125,4,4.0,0.0,2.0,0,16.0
56,48,4,4.0,2.0,0.0,1,16.0
57,93,4,4.0,1.0,1.0,0,16.0
58,4456,4,4.0,0.0,0.0,0,16.0
59,137,4,4.0,0.0,2.0,0,16.0
60,74,4,4.0,1.0,1.0,0,16.0
61,131,4,4.0,0.0,2.0,0,16.0
62,125,4,4.0,0.0,2.0,0,16.0
63,38,4,4.0,0.0,4.0,0,16.0
64,1,4,5.0,5.0,0.0,4,16.0
65,45,4,5.0,3.0,0.0,1,16.0
66,846,4,5.0,2.0,0.0,0,16.0
67,324,4,5.0,1.0,1.0,0,16.0
68,919,4,5.0,2.0,0.0,0,16.0
69,272,4,5.0,1.0,1.0,0,16.0
70,2786,4,5.0,0.0,1.0,0,16.0
71,187,4,5.0,0.0,3.0,0,16.0
72,46,4,5.0,3.0,0.0,1,16.0
73,3250,4,5.0,1.0,0.0,0,16.0
74,290,4,5.0,1.0,1.0,0,16.0
75,257,4,5.0,0.0,2.0,0,16.0
76,282,4,5.0,1.0,1.0,0,16.0
77,261,4,5.0,0.0,2.0,0,16.0
78,181,4,5.0,0.0,3.0,0,16.0
79,46,4,5.0,0.0,5.0,0,16.0
80,2,4,4.0,4.0,0.0,4,16.0
81,12,4,4.0,3.0,0.0,2,16.0
82,2615,4,4.0,1.0,0.0,0,16.0
83,124,4,4.0,1.0,1.0,0,16.0
84,89,4,4.0,2.0,0.0,1,16.0
85,2055,4,4.0,1.0,0.0,0,16.0
86,679,4,4.0,0.0,1.0,0,16.0
87,226,4,4.0,0.0,2.0,0,16.0
88,80,4,4.0,2.0,0.0,1,16.0
89,1993,4,4.0,1.0,0.0,0,16.0
90,735,4,4.0,0.0,1.0,0,16.0
91,231,4,4.0,0.0,2.0,0,16.0
