,freq_total,nodes,edges,pedge00,pedge11,pnode,total_states
0,0,5,6.0,6.0,0.0,5,32
1,37,5,6.0,3.0,0.0,1,32
2,3,5,6.0,4.0,0.0,2,32
3,2568,5,6.0,1.0,0.0,0,32
4,3,5,6.0,4.0,0.0,2,32
5,26,5,6.0,2.0,1.0,0,32
6,1,5,6.0,3.0,1.0,1,32
7,32,5,6.0,1.0,2.0,0,32
8,39,5,6.0,3.0,0.0,1,32
9,255,5,6.0,1.0,1.0,0,32
10,36,5,6.0,2.0,1.0,0,32
11,179,5,6.0,0.0,2.0,0,32
12,2618,5,6.0,1.0,0.0,0,32
13,209,5,6.0,0.0,2.0,0,32
14,28,5,6.0,1.0,2.0,0,32
15,25,5,6.0,0.0,4.0,0,32
16,1,5,6.0,4.0,0.0,2,32
17,15,5,6.0,2.0,1.0,1,32
18,407,5,6.0,2.0,0.0,0,32
19,1278,5,6.0,0.0,1.0,0,32
20,360,5,6.0,2.0,0.0,0,32
21,24,5,6.0,1.0,2.0,0,32
22,307,5,6.0,1.0,1.0,0,32
23,87,5,6.0,0.0,3.0,0,32
24,10,5,6.0,2.0,1.0,1,32
25,11,5,6.0,1.0,3.0,0,32
26,29,5,6.0,1.0,2.0,0,32
27,38,5,6.0,0.0,4.0,0,32
28,1236,5,6.0,0.0,1.0,0,32
29,43,5,6.0,0.0,4.0,0,32
30,71,5,6.0,0.0,3.0,0,32
31,10,5,6.0,0.0,6.0,0,32
