,freq_total,nodes,edges,pedge00,pedge11,pnode,total_states
0,0,5,4.0,4.0,0.0,5,32
1,151,5,4.0,1.0,0.0,1,32
2,0,5,4.0,3.0,0.0,3,32
3,7,5,4.0,1.0,1.0,1,32
4,1,5,4.0,3.0,0.0,3,32
5,3704,5,4.0,0.0,0.0,0,32
6,9,5,4.0,2.0,0.0,1,32
7,209,5,4.0,0.0,1.0,0,32
8,0,5,4.0,3.0,0.0,3,32
9,4,5,4.0,1.0,1.0,1,32
10,4,5,4.0,2.0,0.0,2,32
11,0,5,4.0,1.0,2.0,1,32
12,11,5,4.0,2.0,0.0,1,32
13,200,5,4.0,0.0,1.0,0,32
14,715,5,4.0,1.0,0.0,0,32
15,146,5,4.0,0.0,2.0,0,32
16,7,5,4.0,2.0,0.0,2,32
17,236,5,4.0,0.0,1.0,0,32
18,41,5,4.0,1.0,0.0,1,32
19,36,5,4.0,0.0,2.0,0,32
20,1,5,4.0,2.0,1.0,2,32
21,133,5,4.0,0.0,2.0,0,32
22,7,5,4.0,1.0,1.0,1,32
23,17,5,4.0,0.0,3.0,0,32
24,39,5,4.0,1.0,0.0,1,32
25,40,5,4.0,0.0,2.0,0,32
26,3668,5,4.0,0.0,0.0,0,32
27,63,5,4.0,0.0,3.0,0,32
28,6,5,4.0,1.0,1.0,1,32
29,15,5,4.0,0.0,3.0,0,32
30,488,5,4.0,0.0,1.0,0,32
31,29,5,4.0,0.0,4.0,0,32
32,0,6,5.0,5.0,0.0,6,64
33,0,6,5.0,3.0,0.0,3,64
34,0,6,5.0,4.0,0.0,4,64
35,23,6,5.0,2.0,0.0,1,64
36,1,6,5.0,3.0,0.0,3,64
37,82,6,5.0,1.0,0.0,1,64
38,0,6,5.0,3.0,1.0,3,64
39,12,6,5.0,1.0,1.0,1,64
40,0,6,5.0,4.0,0.0,4,64
41,5,6,5.0,2.0,0.0,2,64
42,0,6,5.0,3.0,0.0,2,64
43,648,6,5.0,1.0,0.0,0,64
44,28,6,5.0,2.0,0.0,1,64
45,2606,6,5.0,0.0,0.0,0,64
46,1,6,5.0,2.0,1.0,1,64
47,336,6,5.0,0.0,1.0,0,64
48,0,6,5.0,3.0,0.0,3,64
49,0,6,5.0,2.0,1.0,2,64
50,23,6,5.0,2.0,0.0,1,64
51,31,6,5.0,1.0,1.0,0,64
52,848,6,5.0,1.0,0.0,0,64
53,297,6,5.0,0.0,1.0,0,64
54,52,6,5.0,1.0,1.0,0,64
55,26,6,5.0,0.0,2.0,0,64
56,0,6,5.0,3.0,1.0,3,64
57,0,6,5.0,2.0,2.0,2,64
58,0,6,5.0,2.0,1.0,1,64
59,16,6,5.0,1.0,2.0,0,64
60,44,6,5.0,1.0,1.0,0,64
61,102,6,5.0,0.0,2.0,0,64
62,1,6,5.0,1.0,2.0,0,64
63,10,6,5.0,0.0,3.0,0,64
64,0,6,5.0,3.0,0.0,3,64
65,0,6,5.0,2.0,1.0,2,64
66,5,6,5.0,2.0,0.0,2,64
67,8,6,5.0,1.0,1.0,1,64
68,0,6,5.0,2.0,1.0,2,64
69,0,6,5.0,1.0,2.0,1,64
70,0,6,5.0,2.0,2.0,2,64
71,1,6,5.0,1.0,3.0,1,64
72,17,6,5.0,2.0,0.0,1,64
73,8,6,5.0,1.0,1.0,1,64
74,650,6,5.0,1.0,0.0,0,64
75,421,6,5.0,0.0,1.0,0,64
76,28,6,5.0,1.0,1.0,0,64
77,33,6,5.0,0.0,2.0,0,64
78,15,6,5.0,1.0,2.0,0,64
79,43,6,5.0,0.0,3.0,0,64
80,95,6,5.0,1.0,0.0,1,64
81,0,6,5.0,1.0,2.0,1,64
82,2539,6,5.0,0.0,0.0,0,64
83,30,6,5.0,0.0,2.0,0,64
84,334,6,5.0,0.0,1.0,0,64
85,30,6,5.0,0.0,3.0,0,64
86,99,6,5.0,0.0,2.0,0,64
87,2,6,5.0,0.0,4.0,0,64
88,10,6,5.0,1.0,1.0,1,64
89,0,6,5.0,1.0,3.0,1,64
90,327,6,5.0,0.0,1.0,0,64
91,35,6,5.0,0.0,3.0,0,64
92,29,6,5.0,0.0,2.0,0,64
93,6,6,5.0,0.0,4.0,0,64
94,13,6,5.0,0.0,3.0,0,64
95,3,6,5.0,0.0,5.0,0,64
96,0,5,4.0,4.0,0.0,5,32
97,1,5,4.0,3.0,0.0,3,32
98,133,5,4.0,1.0,0.0,1,32
99,3688,5,4.0,0.0,0.0,0,32
100,0,5,4.0,3.0,0.0,3,32
101,13,5,4.0,2.0,0.0,1,32
102,6,5,4.0,1.0,1.0,1,32
103,222,5,4.0,0.0,1.0,0,32
104,0,5,4.0,3.0,0.0,3,32
105,13,5,4.0,2.0,0.0,1,32
106,2,5,4.0,1.0,1.0,1,32
107,213,5,4.0,0.0,1.0,0,32
108,6,5,4.0,2.0,0.0,2,32
109,730,5,4.0,1.0,0.0,0,32
110,0,5,4.0,1.0,2.0,1,32
111,131,5,4.0,0.0,2.0,0,32
112,9,5,4.0,2.0,0.0,2,32
113,0,5,4.0,2.0,1.0,2,32
114,223,5,4.0,0.0,1.0,0,32
115,139,5,4.0,0.0,2.0,0,32
116,48,5,4.0,1.0,0.0,1,32
117,5,5,4.0,1.0,1.0,1,32
118,39,5,4.0,0.0,2.0,0,32
119,14,5,4.0,0.0,3.0,0,32
120,41,5,4.0,1.0,0.0,1,32
121,5,5,4.0,1.0,1.0,1,32
122,42,5,4.0,0.0,2.0,0,32
123,13,5,4.0,0.0,3.0,0,32
124,3633,5,4.0,0.0,0.0,0,32
125,502,5,4.0,0.0,1.0,0,32
126,83,5,4.0,0.0,3.0,0,32
127,32,5,4.0,0.0,4.0,0,32
128,0,5,5.0,5.0,0.0,5,32
129,1,5,5.0,3.0,0.0,2,32
130,1,5,5.0,4.0,0.0,3,32
131,57,5,5.0,2.0,0.0,1,32
132,84,5,5.0,2.0,0.0,1,32
133,10,5,5.0,1.0,1.0,1,32
134,1,5,5.0,2.0,1.0,1,32
135,5,5,5.0,1.0,2.0,1,32
136,74,5,5.0,2.0,0.0,1,32
137,16,5,5.0,1.0,1.0,1,32
138,2149,5,5.0,1.0,0.0,0,32
139,692,5,5.0,0.0,1.0,0,32
140,735,5,5.0,0.0,1.0,0,32
141,25,5,5.0,0.0,3.0,0,32
142,242,5,5.0,0.0,2.0,0,32
143,30,5,5.0,0.0,4.0,0,32
144,1,5,5.0,4.0,0.0,3,32
145,60,5,5.0,2.0,0.0,1,32
146,9,5,5.0,3.0,0.0,1,32
147,1897,5,5.0,1.0,0.0,0,32
148,2154,5,5.0,1.0,0.0,0,32
149,727,5,5.0,0.0,1.0,0,32
150,86,5,5.0,1.0,1.0,0,32
151,224,5,5.0,0.0,2.0,0,32
152,7,5,5.0,2.0,1.0,1,32
153,6,5,5.0,1.0,2.0,1,32
154,95,5,5.0,1.0,1.0,0,32
155,272,5,5.0,0.0,2.0,0,32
156,244,5,5.0,0.0,2.0,0,32
157,33,5,5.0,0.0,4.0,0,32
158,27,5,5.0,0.0,3.0,0,32
159,22,5,5.0,0.0,5.0,0,32
160,0,5,4.0,4.0,0.0,5,32
161,4,5,4.0,2.0,0.0,2,32
162,0,5,4.0,3.0,0.0,3,32
163,119,5,4.0,1.0,0.0,1,32
164,7,5,4.0,2.0,0.0,2,32
165,3,5,4.0,1.0,1.0,1,32
166,717,5,4.0,1.0,0.0,0,32
167,382,5,4.0,0.0,1.0,0,32
168,4,5,4.0,2.0,0.0,2,32
169,5,5,4.0,1.0,1.0,1,32
170,0,5,4.0,2.0,1.0,2,32
171,2,5,4.0,1.0,2.0,1,32
172,2938,5,4.0,0.0,0.0,0,32
173,35,5,4.0,0.0,2.0,0,32
174,352,5,4.0,0.0,1.0,0,32
175,54,5,4.0,0.0,3.0,0,32
176,0,5,4.0,3.0,0.0,3,32
177,110,5,4.0,1.0,0.0,1,32
178,18,5,4.0,2.0,0.0,1,32
179,3379,5,4.0,0.0,0.0,0,32
180,1,5,4.0,2.0,1.0,2,32
181,4,5,4.0,1.0,2.0,1,32
182,54,5,4.0,1.0,1.0,0,32
183,100,5,4.0,0.0,2.0,0,32
184,709,5,4.0,1.0,0.0,0,32
185,360,5,4.0,0.0,1.0,0,32
186,41,5,4.0,1.0,1.0,0,32
187,114,5,4.0,0.0,2.0,0,32
188,384,5,4.0,0.0,1.0,0,32
189,36,5,4.0,0.0,3.0,0,32
190,42,5,4.0,0.0,2.0,0,32
191,10,5,4.0,0.0,4.0,0,32
192,0,5,5.0,5.0,0.0,5,32
193,4,5,5.0,3.0,0.0,2,32
194,2,5,5.0,3.0,0.0,2,32
195,1356,5,5.0,1.0,0.0,0,32
196,5,5,5.0,3.0,0.0,2,32
197,1,5,5.0,2.0,1.0,1,32
198,3,5,5.0,2.0,1.0,1,32
199,11,5,5.0,1.0,2.0,0,32
200,6,5,5.0,3.0,0.0,2,32
201,1330,5,5.0,1.0,0.0,0,32
202,6,5,5.0,2.0,1.0,1,32
203,626,5,5.0,0.0,1.0,0,32
