,A,B,C,D,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,freq9,freq10,AB,BC,CD,AC,BD,AD,pedge00,pedge11,pnode,hnodes,lnodes,pedge
0,1,1,1,1,42,31,18,4,0,0,3,4,4,112,1,1,1,1,1,1,0.0,6.0,0.0,4.0,0.0,
1,0,1,1,1,122,228,62,23,6,1,7,16,25,287,1,1,1,1,1,1,0.0,3.0,0.0,3.0,1.0,
2,1,0,1,1,127,221,90,15,3,3,5,13,12,285,1,1,1,1,1,1,0.0,3.0,0.0,3.0,1.0,
3,1,1,0,1,132,204,79,22,11,10,11,18,4,308,1,1,1,1,1,1,0.0,3.0,0.0,3.0,1.0,
4,1,1,1,0,152,222,74,22,7,2,7,0,10,341,1,1,1,1,1,1,0.0,3.0,0.0,3.0,1.0,
5,1,1,0,0,502,795,343,79,13,14,21,3,25,436,1,1,1,1,1,1,1.0,1.0,0.0,2.0,2.0,
6,1,0,1,0,494,862,322,72,13,8,26,10,8,483,1,1,1,1,1,1,1.0,1.0,0.0,2.0,2.0,
7,1,0,0,1,520,818,335,81,13,12,21,24,14,438,1,1,1,1,1,1,1.0,1.0,0.0,2.0,2.0,
8,0,1,1,0,557,792,314,75,11,15,14,7,43,476,1,1,1,1,1,1,1.0,1.0,0.0,2.0,2.0,
9,0,1,0,1,580,766,336,88,34,23,7,13,18,472,1,1,1,1,1,1,1.0,1.0,0.0,2.0,2.0,
10,0,0,1,1,565,835,346,75,29,17,17,29,30,442,1,1,1,1,1,1,1.0,1.0,0.0,2.0,2.0,
11,1,0,0,0,187,383,171,47,14,14,6,4,10,188,1,1,1,1,1,1,3.0,0.0,0.0,1.0,3.0,
12,0,1,0,0,205,341,166,32,9,9,10,3,23,187,1,1,1,1,1,1,3.0,0.0,0.0,1.0,3.0,
13,0,0,1,0,220,356,144,25,13,5,11,12,18,145,1,1,1,1,1,1,3.0,0.0,0.0,1.0,3.0,
14,0,0,0,1,226,332,160,44,9,11,9,4,8,167,1,1,1,1,1,1,3.0,0.0,0.0,1.0,3.0,
15,0,0,0,0,2,0,1,0,0,0,0,0,0,3,1,1,1,1,1,1,6.0,0.0,4.0,0.0,4.0,
16,1,1,1,1,12,30,14,1,0,3,0,0,0,47,1,1,1,1,0,1,0.0,5.0,0.0,4.0,0.0,
17,0,1,1,1,83,224,96,8,5,0,0,1,1,91,1,1,1,1,0,1,0.0,2.0,0.0,3.0,1.0,
18,1,0,1,1,56,104,48,10,2,7,0,7,5,139,1,1,1,1,0,1,0.0,3.0,0.0,3.0,1.0,
19,1,1,0,1,90,214,87,18,1,7,2,6,6,94,1,1,1,1,0,1,0.0,2.0,0.0,3.0,1.0,
20,1,1,1,0,55,103,63,7,3,0,6,1,2,137,1,1,1,1,0,1,0.0,3.0,0.0,3.0,1.0,
21,1,1,0,0,86,223,150,18,4,2,3,0,0,69,1,1,1,1,0,1,1.0,1.0,0.0,2.0,2.0,
22,1,0,1,0,1221,2352,1062,127,24,16,17,31,15,540,1,1,1,1,0,1,0.0,1.0,0.0,2.0,2.0,
23,1,0,0,1,87,217,134,28,9,0,0,0,9,145,1,1,1,1,0,1,1.0,1.0,0.0,2.0,2.0,
24,0,1,1,0,77,261,139,20,5,0,9,8,2,120,1,1,1,1,0,1,1.0,1.0,0.0,2.0,2.0,
25,0,1,0,1,1296,3517,1138,114,15,8,22,12,13,182,1,1,1,1,0,1,1.0,0.0,0.0,2.0,2.0,
26,0,0,1,1,81,235,119,22,5,2,0,0,4,113,1,1,1,1,0,1,1.0,1.0,0.0,2.0,2.0,
27,1,0,0,0,274,843,395,44,6,1,4,3,9,165,1,1,1,1,0,1,2.0,0.0,0.0,1.0,3.0,
28,0,1,0,0,3,19,30,3,5,0,1,1,1,15,1,1,1,1,0,1,3.0,0.0,1.0,1.0,3.0,
29,0,0,1,0,302,840,387,40,11,2,6,2,5,113,1,1,1,1,0,1,2.0,0.0,0.0,1.0,3.0,
30,0,0,0,1,3,24,35,8,0,0,0,0,0,29,1,1,1,1,0,1,3.0,0.0,1.0,1.0,3.0,
31,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,5.0,0.0,4.0,0.0,4.0,
32,1,1,1,1,10,39,20,1,0,0,0,0,0,0,1,1,1,0,0,1,0.0,4.0,0.0,4.0,0.0,
33,0,1,1,1,29,134,63,3,0,0,0,0,0,0,1,1,1,0,0,1,0.0,2.0,0.0,3.0,1.0,
34,1,0,1,1,30,149,69,4,0,0,0,0,0,0,1,1,1,0,0,1,0.0,2.0,0.0,3.0,1.0,
